date,region.sk.aerodrom,region.sk.arachinovo,region.sk.butel,region.sk.centar,region.sk.chair,region.sk.chucher-sandevo,region.sk.gazi_baba,region.sk.gjorche_petrov,region.sk.ilinden,region.sk.karposh,region.sk.kisela_voda,region.sk.petrovets,region.sk.saraj,region.sk.shuto_orizari,region.sk.sopishte,region.sk.studenichani,region.sk.zelenikovo
2020-06-01,34,4,38,8,84,0,32,8,11,13,12,8,43,9,2,13,0
2020-06-02,47,8,47,24,97,0,38,11,10,17,17,5,47,9,2,13,0
2020-06-03,45,17,54,28,111,2,42,15,11,26,18,5,48,9,2,17,0
2020-06-04,,,,,,,,,,,,,,,,,
2020-06-05,,,,,,,,,,,,,,,,,
2020-06-06,53,23,59,52,152,3,58,17,17,40,29,6,52,12,2,18,0
2020-06-07,57,23,63,64,168,3,58,18,18,45,35,6,55,17,2,19,0
2020-06-08,61,23,68,66,192,3,63,23,18,57,37,6,55,21,2,20,0
2020-06-09,67,24,72,71,195,3,66,26,19,64,39,6,58,21,2,24,0
2020-06-10,75,24,76,73,209,4,75,35,19,72,43,6,64,26,2,24,0
2020-06-11,87,30,88,87,235,6,89,39,20,79,52,7,75,29,3,25,0
2020-06-12,,,,,,,,,,,,,,,,,
2020-06-13,,,,,,,,,,,,,,,,,
2020-06-14,,,,,,,,,,,,,,,,,
2020-06-15,118,33,110,105,302,7,104,53,27,94,64,9,96,40,8,52,1
2020-06-16,119,33,106,114,306,7,114,57,28,100,71,12,95,46,11,62,1
2020-06-17,125,38,118,121,336,8,128,62,24,103,80,12,105,51,12,71,1
2020-06-18,127,44,117,123,352,8,128,63,24,108,82,12,109,54,11,75,0
2020-06-19,129,52,133,126,363,9,148,69,25,115,86,12,125,65,12,78,1
2020-06-20,130,55,140,133,384,12,153,77,30,114,95,12,130,69,13,84,2
2020-06-21,135,55,144,137,394,16,156,83,31,116,98,14,137,73,13,86,2
2020-06-22,136,49,138,131,402,15,150,80,31,116,98,16,137,73,12,86,2
2020-06-23,135,49,136,127,413,16,149,83,33,124,101,16,141,72,12,89,2
2020-06-24,141,51,136,123,416,17,151,88,32,121,109,16,138,77,12,94,2
2020-06-25,143,53,139,125,421,17,149,88,30,125,107,18,139,76,12,95,2
2020-06-26,147,54,137,127,421,16,151,86,30,128,109,18,139,73,12,95,2
2020-06-27,,,,,,,,,,,,,,,,,
2020-06-28,167,55,156,141,442,17,175,115,33,158,119,20,154,82,12,101,2
